paperId,title,publicationDate,hypothesis_4omini,sentence,keywords_4omini,neg_type,idea_keywords_llama,similarity,rank
fcf96e0a58a0e41c3347a205ee5059dec394338d_n_paraphrase_1,From Waste to Taste: How “Ugly” Labels Can Increase Purchase of Unattractive Produce,2021-06-01 00:00:00,"""Ugly"" labeling increases the purchase likelihood of unattractive produce by correcting consumers' biased expectations regarding key attributes, particularly tastiness, and is most effective when associated with moderate price discounts.","By rebranding imperfect produce as ""ugly,"" retailers can boost sales by recalibrating consumers' perceptions of taste and other characteristics, with moderate price reductions proving most influential.","['ugly labeling', 'unattractive produce', 'purchase likelihood', 'food waste', 'price discount', 'consumer expectations']",paraphrase,"['rebranding', 'imperfect produce', 'consumer perception', 'taste', 'price reduction', 'sales boost']",0.92712754,1
fcf96e0a58a0e41c3347a205ee5059dec394338d_n_paraphrase_2,From Waste to Taste: How “Ugly” Labels Can Increase Purchase of Unattractive Produce,2021-06-01 00:00:00,"""Ugly"" labeling increases the purchase likelihood of unattractive produce by correcting consumers' biased expectations regarding key attributes, particularly tastiness, and is most effective when associated with moderate price discounts.","By reframing the perception of imperfect produce through ""ugly"" labeling, retailers can capitalize on the psychological influence of moderate price discounts, ultimately driving up sales.","['ugly labeling', 'unattractive produce', 'purchase likelihood', 'food waste', 'price discount', 'consumer expectations']",paraphrase,"['reframing perception', 'imperfect produce', '""ugly"" labeling', 'psychological influence', 'moderate price discounts', 'driving sales']",0.94515336,2
fcf96e0a58a0e41c3347a205ee5059dec394338d_n_paraphrase_3,From Waste to Taste: How “Ugly” Labels Can Increase Purchase of Unattractive Produce,2021-06-01 00:00:00,"""Ugly"" labeling increases the purchase likelihood of unattractive produce by correcting consumers' biased expectations regarding key attributes, particularly tastiness, and is most effective when associated with moderate price discounts.","Moderate price reductions can amplify the impact of ""ugly"" labeling on increasing the demand for unattractive produce by altering consumers' expectations of taste and other attributes.","['ugly labeling', 'unattractive produce', 'purchase likelihood', 'food waste', 'price discount', 'consumer expectations']",paraphrase,"['price reductions', 'ugly labeling', 'demand', 'produce', 'consumer expectations', 'taste', 'attributes', 'impact', 'altering']",0.9553547,3
fcf96e0a58a0e41c3347a205ee5059dec394338d_n_paraphrase_4,From Waste to Taste: How “Ugly” Labels Can Increase Purchase of Unattractive Produce,2021-06-01 00:00:00,"""Ugly"" labeling increases the purchase likelihood of unattractive produce by correcting consumers' biased expectations regarding key attributes, particularly tastiness, and is most effective when associated with moderate price discounts.","Correcting consumers' misconceptions about the taste and appearance of imperfect produce through ""ugly"" labeling can significantly enhance purchasing decisions, particularly when combined with moderate discounts.","['ugly labeling', 'unattractive produce', 'purchase likelihood', 'food waste', 'price discount', 'consumer expectations']",paraphrase,"['Correcting misconceptions', 'Imperfect produce', 'Labeling', 'Purchasing decisions', 'Discounts', 'Taste', 'Appearance']",0.96197313,4
fcf96e0a58a0e41c3347a205ee5059dec394338d_n_paraphrase_5,From Waste to Taste: How “Ugly” Labels Can Increase Purchase of Unattractive Produce,2021-06-01 00:00:00,"""Ugly"" labeling increases the purchase likelihood of unattractive produce by correcting consumers' biased expectations regarding key attributes, particularly tastiness, and is most effective when associated with moderate price discounts.","The practice of labeling unappealing fruits and vegetables as ""ugly"" successfully manipulates consumer expectations, leading to increased demand, especially when accompanied by moderate price adjustments.","['ugly labeling', 'unattractive produce', 'purchase likelihood', 'food waste', 'price discount', 'consumer expectations']",paraphrase,"['labeling', 'ugly produce', 'consumer expectations', 'demand', 'price adjustments', 'marketing strategy', 'fruit and vegetables', 'consumer behavior', 'manipulation', 'supply chain']",0.9630375,5
777f5f9531b59f0f1d6999b05d27d753b414caf9_n_paraphrase_1,The Brand Relationship Spectrum: The Key to the Architecture Challenge,2000-08-01 00:00:00,"A coherent brand architecture, facilitated by the brand relationship spectrum, can lead to impact, clarity, synergy, and leverage in brand management, addressing the challenges posed by market fragmentation and changing business environments.","A well-structured brand framework, enabled by the brand relationship spectrum, can yield significant benefits, including increased clarity, synergy, and leverage, ultimately addressing the complexities posed by market fragmentation and shifting business landscapes.","['brand architecture', 'brand relationship spectrum', 'market fragmentation', 'brand management', 'subbrands', 'endorsed brands']",paraphrase,"['brand framework', 'brand relationship spectrum', 'market fragmentation', 'business landscapes', 'synergy', 'leverage', 'clarity']",0.95193785,1
777f5f9531b59f0f1d6999b05d27d753b414caf9_n_paraphrase_2,The Brand Relationship Spectrum: The Key to the Architecture Challenge,2000-08-01 00:00:00,"A coherent brand architecture, facilitated by the brand relationship spectrum, can lead to impact, clarity, synergy, and leverage in brand management, addressing the challenges posed by market fragmentation and changing business environments.","Effective brand management can be achieved by implementing a brand architecture that is informed by the brand relationship spectrum, thereby addressing the challenges posed by market fragmentation and shifting business environments, and yielding benefits such as increased clarity, synergy, and leverage.","['brand architecture', 'brand relationship spectrum', 'market fragmentation', 'brand management', 'subbrands', 'endorsed brands']",paraphrase,"['Brand management', 'Brand architecture', 'Market fragmentation', 'Business environment', 'Clarity', 'Synergy', 'Leverage', 'Brand relationship', 'Spectrum']",0.96362793,2
777f5f9531b59f0f1d6999b05d27d753b414caf9_n_paraphrase_3,The Brand Relationship Spectrum: The Key to the Architecture Challenge,2000-08-01 00:00:00,"A coherent brand architecture, facilitated by the brand relationship spectrum, can lead to impact, clarity, synergy, and leverage in brand management, addressing the challenges posed by market fragmentation and changing business environments.","The brand relationship spectrum serves as a foundation for a robust brand architecture, allowing for the creation of a unified brand identity that addresses the complexities of market fragmentation and changing business environments, resulting in enhanced clarity, synergy, and leverage.","['brand architecture', 'brand relationship spectrum', 'market fragmentation', 'brand management', 'subbrands', 'endorsed brands']",paraphrase,"['brand relationship', 'brand architecture', 'unified brand identity', 'market fragmentation', 'business environment', 'clarity', 'synergy', 'leverage']",0.9638734,3
777f5f9531b59f0f1d6999b05d27d753b414caf9_n_paraphrase_4,The Brand Relationship Spectrum: The Key to the Architecture Challenge,2000-08-01 00:00:00,"A coherent brand architecture, facilitated by the brand relationship spectrum, can lead to impact, clarity, synergy, and leverage in brand management, addressing the challenges posed by market fragmentation and changing business environments.","By leveraging the brand relationship spectrum, a cohesive brand architecture can help organizations overcome the challenges of market fragmentation and dynamic business environments, ultimately leading to improved clarity, synergy, and impact.","['brand architecture', 'brand relationship spectrum', 'market fragmentation', 'brand management', 'subbrands', 'endorsed brands']",paraphrase,"['brand relationship spectrum', 'brand architecture', 'market fragmentation', 'business environments', 'clarity', 'synergy', 'impact']",0.9756064,4
777f5f9531b59f0f1d6999b05d27d753b414caf9_n_paraphrase_5,The Brand Relationship Spectrum: The Key to the Architecture Challenge,2000-08-01 00:00:00,"A coherent brand architecture, facilitated by the brand relationship spectrum, can lead to impact, clarity, synergy, and leverage in brand management, addressing the challenges posed by market fragmentation and changing business environments.","A brand architecture that is grounded in the brand relationship spectrum can help organizations navigate the complexities of market fragmentation and dynamic business environments, ultimately leading to improved brand clarity, synergy, and impact, and enabling more effective brand management.","['brand architecture', 'brand relationship spectrum', 'market fragmentation', 'brand management', 'subbrands', 'endorsed brands']",paraphrase,"['brand architecture', 'brand relationship spectrum', 'market fragmentation', 'dynamic business environments', 'brand clarity', 'brand synergy', 'brand impact', 'effective brand management']",0.9791996,5
