paperId,title,publicationDate,hypothesis_4omini,sentence,keywords_4omini,neg_type,idea_keywords_llama,similarity,rank
fcf96e0a58a0e41c3347a205ee5059dec394338d_n_subset_1,From Waste to Taste: How “Ugly” Labels Can Increase Purchase of Unattractive Produce,2021-06-01 00:00:00,"""Ugly"" labeling increases the purchase likelihood of unattractive produce by correcting consumers' biased expectations regarding key attributes, particularly tastiness, and is most effective when associated with moderate price discounts.","Correcting consumers' misconceptions about unappealing produce can significantly boost sales, especially when accompanied by reasonable price reductions.","['ugly labeling', 'unattractive produce', 'purchase likelihood', 'food waste', 'price discount', 'consumer expectations']",subset,"['misconceptions', 'produce', 'sales', 'price reductions', 'correcting', 'consumers', 'appeal']",0.89685607,1
fcf96e0a58a0e41c3347a205ee5059dec394338d_n_subset_2,From Waste to Taste: How “Ugly” Labels Can Increase Purchase of Unattractive Produce,2021-06-01 00:00:00,"""Ugly"" labeling increases the purchase likelihood of unattractive produce by correcting consumers' biased expectations regarding key attributes, particularly tastiness, and is most effective when associated with moderate price discounts.","By rebranding unattractive fruits and vegetables, retailers can alter consumers' perceptions of their taste and value, leading to increased purchases.","['ugly labeling', 'unattractive produce', 'purchase likelihood', 'food waste', 'price discount', 'consumer expectations']",subset,"['rebranding', 'unattractive fruits', 'vegetables', 'consumer perception', 'taste', 'value', 'increased purchases']",0.9091193,2
fcf96e0a58a0e41c3347a205ee5059dec394338d_n_subset_3,From Waste to Taste: How “Ugly” Labels Can Increase Purchase of Unattractive Produce,2021-06-01 00:00:00,"""Ugly"" labeling increases the purchase likelihood of unattractive produce by correcting consumers' biased expectations regarding key attributes, particularly tastiness, and is most effective when associated with moderate price discounts.","Moderate price discounts can be a powerful tool in persuading consumers to buy ""ugly"" produce, as it addresses their concerns about quality and value.","['ugly labeling', 'unattractive produce', 'purchase likelihood', 'food waste', 'price discount', 'consumer expectations']",subset,"['price discounts', 'consumer persuasion', 'ugly produce', 'quality concerns', 'value perception', 'consumer behavior', 'marketing strategy']",0.92140967,3
fcf96e0a58a0e41c3347a205ee5059dec394338d_n_subset_4,From Waste to Taste: How “Ugly” Labels Can Increase Purchase of Unattractive Produce,2021-06-01 00:00:00,"""Ugly"" labeling increases the purchase likelihood of unattractive produce by correcting consumers' biased expectations regarding key attributes, particularly tastiness, and is most effective when associated with moderate price discounts.","By highlighting the quality and value of unattractive produce through labeling, retailers can create a more accurate and positive perception among consumers, driving up sales.","['ugly labeling', 'unattractive produce', 'purchase likelihood', 'food waste', 'price discount', 'consumer expectations']",subset,"['Quality produce', 'Retail labeling', 'Consumer perception', 'Sales', 'Unattractive produce', 'Value perception', 'Retail marketing', 'Consumer behavior', 'Labeling strategy']",0.9343021,4
fcf96e0a58a0e41c3347a205ee5059dec394338d_n_subset_5,From Waste to Taste: How “Ugly” Labels Can Increase Purchase of Unattractive Produce,2021-06-01 00:00:00,"""Ugly"" labeling increases the purchase likelihood of unattractive produce by correcting consumers' biased expectations regarding key attributes, particularly tastiness, and is most effective when associated with moderate price discounts.","When paired with moderate price cuts, labeling ""ugly"" produce can effectively overcome consumers' biases against imperfect appearance and perceived taste.","['ugly labeling', 'unattractive produce', 'purchase likelihood', 'food waste', 'price discount', 'consumer expectations']",subset,"['labeling', 'imperfect appearance', 'perceived taste', 'moderate price cuts', 'consumer biases', 'produce', 'overcome']",0.9652995,5
777f5f9531b59f0f1d6999b05d27d753b414caf9_n_subset_1,The Brand Relationship Spectrum: The Key to the Architecture Challenge,2000-08-01 00:00:00,"A coherent brand architecture, facilitated by the brand relationship spectrum, can lead to impact, clarity, synergy, and leverage in brand management, addressing the challenges posed by market fragmentation and changing business environments.","Effective brand management requires a thoughtful approach to building relationships between different brand elements, leading to a more cohesive brand strategy.","['brand architecture', 'brand relationship spectrum', 'market fragmentation', 'brand management', 'subbrands', 'endorsed brands']",subset,"['brand management', 'relationship building', 'brand elements', 'cohesive strategy', 'effective approach', 'brand strategy', 'building relationships', 'brand elements integration', 'strategic alignment']",0.90230733,1
777f5f9531b59f0f1d6999b05d27d753b414caf9_n_subset_2,The Brand Relationship Spectrum: The Key to the Architecture Challenge,2000-08-01 00:00:00,"A coherent brand architecture, facilitated by the brand relationship spectrum, can lead to impact, clarity, synergy, and leverage in brand management, addressing the challenges posed by market fragmentation and changing business environments.",A brand architecture that prioritizes synergy and leverage can help businesses stay ahead in a rapidly changing market landscape.,"['brand architecture', 'brand relationship spectrum', 'market fragmentation', 'brand management', 'subbrands', 'endorsed brands']",subset,"['brand architecture', 'synergy', 'leverage', 'rapidly changing market', 'business strategy', 'competitive advantage', 'market landscape', 'prioritization', 'success']",0.9210645,2
777f5f9531b59f0f1d6999b05d27d753b414caf9_n_subset_3,The Brand Relationship Spectrum: The Key to the Architecture Challenge,2000-08-01 00:00:00,"A coherent brand architecture, facilitated by the brand relationship spectrum, can lead to impact, clarity, synergy, and leverage in brand management, addressing the challenges posed by market fragmentation and changing business environments.","By leveraging the brand relationship spectrum, companies can create a clear and cohesive brand identity that resonates with their target audience.","['brand architecture', 'brand relationship spectrum', 'market fragmentation', 'brand management', 'subbrands', 'endorsed brands']",subset,"['brand relationship', 'brand identity', 'target audience', 'leverage', 'clear', 'cohesive']",0.9338707,3
777f5f9531b59f0f1d6999b05d27d753b414caf9_n_subset_4,The Brand Relationship Spectrum: The Key to the Architecture Challenge,2000-08-01 00:00:00,"A coherent brand architecture, facilitated by the brand relationship spectrum, can lead to impact, clarity, synergy, and leverage in brand management, addressing the challenges posed by market fragmentation and changing business environments.",A well-structured brand architecture can help brands navigate market fragmentation and achieve synergy in their marketing efforts.,"['brand architecture', 'brand relationship spectrum', 'market fragmentation', 'brand management', 'subbrands', 'endorsed brands']",subset,"['brand architecture', 'market fragmentation', 'marketing efforts', 'synergy', 'navigation', 'branding']",0.9382372,4
777f5f9531b59f0f1d6999b05d27d753b414caf9_n_subset_5,The Brand Relationship Spectrum: The Key to the Architecture Challenge,2000-08-01 00:00:00,"A coherent brand architecture, facilitated by the brand relationship spectrum, can lead to impact, clarity, synergy, and leverage in brand management, addressing the challenges posed by market fragmentation and changing business environments.","To overcome the challenges posed by market fragmentation, brands must develop a robust brand architecture that fosters clarity and impact in their marketing efforts.","['brand architecture', 'brand relationship spectrum', 'market fragmentation', 'brand management', 'subbrands', 'endorsed brands']",subset,"['market fragmentation', 'brand architecture', 'marketing efforts', 'clarity', 'impact', 'brand development', 'marketing strategy', 'brand management', 'consumer engagement']",0.93897563,5
