paperId,title,publicationDate,hypothesis_4omini
b19c55a199c7c86a2fa81a772ac5fd5cdfe1c58c,Blame the Bot: Anthropomorphism and Anger in Customer–Chatbot Interactions,2021-08-27,"When customers enter a chatbot-led service interaction in an angry emotional state, chatbot anthropomorphism negatively affects customer satisfaction, overall firm evaluation, and subsequent purchase intentions, but this effect does not occur for customers in nonangry emotional states."
0d08eabc4965dd5c5555fbb5712dd803d7ec006f,A Meta-Analysis of When and How Advertising Creativity Works,2020-06-24,"Advertising creativity has robust positive effects, which are stronger for high-involvement products and marginally stronger for unfamiliar brands, with originality leading to affect transfer and appropriateness leading to signaling. Further research is needed to connect advertising creativity with sales and its effects in digital contexts."
e112aeadde199b4e783b37c8c30c90808d19d600,A Theories-in-Use Approach to Building Marketing Theory,2019-11-14,"The article discusses the development of marketing knowledge through the theories-in-use approach, emphasizing the creation of novel marketing theories and the co-creation of knowledge with practitioners, while providing guidance on selecting suitable research questions and developing theoretical propositions."
95eae7eaa24fd3e1a27465b50ae6dfac1fe21d04,The Role of Advertising in High-Tech Medical Procedures: Evidence from Robotic Surgeries,2022-12-30,"Hospital advertising positively influences patients' choice of robotic surgery over conventional surgeries, particularly among Medicaid patients, despite higher costs and no long-term health benefits."
70b7d8f8206fe8a38dc24e4dedf2da5c290c4dcf,Advertising Effectiveness for Multiple Retailer-Brands in a Multimedia and Multichannel Environment,2020-04-08,"The study finds that email and sometimes catalogs from a focal retailer-brand negatively influence other retailer-brands in the category, while paid search influences only the focal retailer-brand; however, competitor catalogs positively influence focal retailer-brand sales among omnichannel customers, and a sizeable group of customers who shop across multiple retailer-brands and both purchase channels are the most responsive to multimedia advertising."
63a7c2e9dc66b10b64030e1e5d2241e65d5039ed,Analyzing the Cultural Contradictions of Authenticity: Theoretical and Managerial Insights from the Market Logic of Conscious Capitalism,2022-03-02,"This research demonstrates that the cultural contradictions of authenticity are influenced by the tensions between conscious capitalism and elitist critiques, affecting how consumers and marketers understand and manage authenticity in various market contexts."
5da37c296c5df8bd96a4953a0414d4c316b7f756,Artificial Intelligence Coaches for Sales Agents: Caveats and Solutions,2020-09-01,"The incremental benefit of AI coaches over human managers is heterogeneous across sales agents, with middle-ranked agents showing the largest performance improvement, while bottom- and top-ranked agents experience limited gains due to information overload and aversion to AI, respectively. Redesigning the AI coach can alleviate challenges faced by bottom-ranked agents, and the combination of AI and human coaches outperforms either alone."
93b43ee4d180415079c0c250d8430e6c9001eb53,Bringing the Doctor to the Patients: Cardiology Outreach to Rural Areas,2023-10-03,"The allocation of cardiologists' time between home and outreach locations is significantly influenced by travel distance, potential competition, and patient demand, and a subsidy program can effectively restore rural access to cardiology services after a reduction in cardiologist supply."
ac43229d8785493a2fe6a21791c6c8f8ff3569f9,Dynamic Governance Matching in Solution Development,2020-01-01,"The study identifies the dynamic role of governance matching in solution development, revealing that solutions evolve through phases of experimentation, integration, and evolution, where governance mechanisms serve different functions and provide contingent benefits, influencing the success or failure of solution efforts."
a3173826a80f9f962571f1e5dcd58bb5e9789b26,Business-to-Business E-Negotiations and Influence Tactics,2020-01-28,"The use of compliance or internalization-based influence tactics as textual cues in B2B e-negotiations enhances buyer attention, which in turn increases the likelihood of contract award, while the concurrent use of both tactics may degrade buyer attention and disadvantage the salesperson in closing the contract."
d99f44b9fd79d024bfdd0637e837f88dd73c514f,Can Viagra Advertising Make More Babies? Direct-to-Consumer Advertising on Public Health Outcomes,2020-04-28,"Increased erectile dysfunction drug television advertising leads to a higher birth rate, with a 1% increase in advertising contributing to an increase of 0.04% to 0.08% in total births."
52d41f4f76e341f44661737fa4b7818585160147,Capital Market Returns to New Product Development Success: Informational Effects on Product Market Advertising,2018-12-27,"The capital market reacts with abnormal stock returns to new product development success events, which influences subsequent marketing decisions, particularly that higher unpredicted abnormal approval returns lead to larger postapproval advertising budgets and more effective postlaunch advertising, especially for detailing spending."
4ef28e39b09005af1175a9f3e7708748f1cdbc4f,Caring for the Commons: Using Psychological Ownership to Enhance Stewardship Behavior for Public Goods,2020-09-25,"Increasing consumers' psychological ownership enhances stewardship behavior for public goods by increasing perceived responsibility, which leads to active care behaviors; this relationship is weakened by cues that diffuse responsibility."
9e7ecd27fc6be76e1afea829aea5bf0f2f49dd08,Charting the Path to Purchase Using Topic Models,2020-08-10,"The proposed integrated model connects latent topics in consumers' search phrases to their website visits and purchase decisions, providing better predictive accuracy and improving marketing efficiency compared to other models."
d100fae88bee596d5c778467943f71aff9f7ed7c,Choosing the Light Meal: Real-Time Aggregation of Calorie Information Reduces Meal Calories,2021-05-19,"Real-time aggregation of calorie content using a traffic light label reduces calories ordered in meals, as consumers revise high-calorie orders more frequently and report greater satisfaction and intentions to return to restaurants using this feedback method."
eea93767592ac748b1878524c2290e1478dfab64,Collaborative Market Driving: How Peer Firms Can Develop Markets Through Collective Action,2020-04-23,"The article conceptualizes ""collaborative market driving"" as a collective strategy where peer firms cooperate to develop markets, which increases their overall competitiveness, and identifies the triggers for collective action and the conversion of resources into market-driving power."
3b1da9a89e91cbdbd53f0db7ecb339bda73b9770,Commentary: A Strategic Perspective on Capturing Marketing Information to Fuel Growth: Challenges and Future Research,2021-01-01,"The root of the growth problem facing managers is broader than data capture, requiring a significant refocusing of the academic research agenda to connect data potential to realized growth outcomes."
97d8f9cd0a425ca14bd6c204dba2c7867a05ace6,Commentary: Artificial Intelligence: The Marketer’s Dilemma,2021-01-01,"Marketers face significant challenges when utilizing AI, as they are increasingly dependent on technology and technologists, which blurs the line between their control and the capabilities of AI, leading to a dilemma in their marketing strategies."
cd2fbb3322a52d1a20c3e01ab4fff4bf24432edc,Commentary: Toward Formalizing Social Influence Structures in Business-to-Business Customer Journeys,2021-01-01,The study highlights the unique challenges in studying social customer journeys for B2B firms and emphasizes the need for research related to structural dynamics and key performance indicators in this context.
e65c1a21ee05c36e385958100e5fa1e929499c04,Commentary: Trajectories and Twists: Perspectives on Marketing Agility from Emerging Markets,2021-01-01,"The commentary aims to assess the robustness and durability of marketing agility in extreme conditions of uncertainty and change, particularly in the context of digital products in emerging markets."
